date,project,task,minutes,startTime,endTime
20240911,"BHT DEV","Solo / intervalle association",100,09:23,11:59
20240912,"BHT DEV","Solo / intervalle association",50,08:09,09:16
20240912,"BHT DEV","Solo / intervalle association",75,10:03,11:28
20240912,"BHT DEV","Solo / intervalle association",26,14:13,15:10
20240912,"BHT DEV","Paper2Event linking",2,15:10,15:13
20240912,"BHT DEV","AUTOF: sqlalchemy",44,15:13,16:16
20240912,"BHT DEV","Paper2Event linking",2,16:16,16:18
20240913,"ADMIN PERSO","VEN 13/09",50,08:17,09:15
20240913,"ADMIN PERSO","VEN 13/09",25,10:00,10:34
20240913,"ADMIN PERSO","VEN 13/09",25,11:30,11:55
20240913,"ADMIN PRO","Ven 13 Sept",100,12:56,15:04
20240917,"ADMIN PERSO","VEN 13/09",25,09:17,09:42
20240917,"ADMIN PRO","Compta Jours",25,10:32,10:57
20240917,"ADMIN PRO","Compta Jours",25,11:29,11:54
20240917,"CALIPSO ADMIN","Chiffrage",25,15:23,15:48
20240918,"CALIPSO ADMIN","Chiffrage",1,15:33,15:35
20240919,"CALIPSO ADMIN","Chiffrage",21,08:49,09:32
20240919,"ADMIN PRO","Salaire et Budget",25,10:19,10:51
20240919,"ADMIN PRO","Salaire et Budget",25,13:17,13:42
20240923,"CALIPSO ADMIN","Chiffrage",43,09:11,09:56
20240923,"CALIPSO ADMIN","Chiffrage",5,11:20,11:25
20240923,"ACTION PERSO","Pgrm Velo",25,11:25,11:50
20240923,"ADMIN PRO","Tableau de Bord",24,13:59,14:28
20240923,"ADMIN PERSO","VEN 13/09",0,14:28,14:28
20240923,"ADMIN PRO","Ven 13 Sept",0,14:28,14:28
20240923,"AUTO FORMATION","sqlalchemy",0,14:28,14:28
20240923,"BHT DEV","sortable table",0,14:28,14:28
20240923,"BHT DEV","conf idx to db",0,14:28,14:28
20240923,"BHT DEV","fix add-to-db",0,14:28,14:28
20240923,"BHT DEV","duration to previous mission ",0,14:28,14:28
20240923,"BHT DEV","confidence indice ""CONF"" -> check ",0,14:28,14:28
20240923,"BHT DEV","sat_occ & nb_durations -> check",0,14:29,14:29
20240923,"BHT DEV","Solo / intervalle association",0,14:29,14:29
20240923,"ADMIN PRO","Tableau de Bord",0,14:29,14:29
20240923,"BHT DEV","Paper2Event linking",0,14:29,14:29
20240923,"auto coaching Septembre 24","journal des expériences",0,14:29,14:29
20240923,"ADMIN PRO","Compta Jours",0,14:29,14:29
20240923,"ADMIN PRO","Salaire et Budget",0,14:29,14:29
20240923,"CALIPSO ADMIN","Chiffrage",0,14:29,14:29
20240923,"ACTION PERSO","Pgrm Velo",0,14:29,14:29
20240923,"ADMIN PERSO","VEN 13/09",0,14:29,14:29
20240923,"ADMIN PRO","Ven 13 Sept",1,14:29,14:31
20240923,"ADMIN PERSO","VEN 13/09",0,14:31,14:31
20240923,"ADMIN PRO","Ven 13 Sept",0,14:31,14:31
20240923,"AUTO FORMATION","sqlalchemy",0,14:31,14:31
20240923,"BHT DEV","sortable table",0,14:32,14:32
20240923,"BHT DEV","conf idx to db",0,14:32,14:32
20240923,"BHT DEV","fix add-to-db",0,14:32,14:32
20240923,"BHT DEV","duration to previous mission ",0,14:32,14:32
20240923,"BHT DEV","confidence indice ""CONF"" -> check ",0,14:32,14:32
20240923,"BHT DEV","sat_occ & nb_durations -> check",0,14:32,14:32
20240923,"BHT DEV","confidence indice ""CONF"" -> check ",0,14:32,14:32
20240923,"BHT DEV","sat_occ & nb_durations -> check",0,14:32,14:32
20240923,"BHT DEV","Solo / intervalle association",0,14:33,14:33
20240923,"ADMIN PRO","Tableau de Bord",0,14:33,14:33
20240923,"BHT DEV","Paper2Event linking",0,14:33,14:33
20240923,"auto coaching Septembre 24","journal des expériences",0,14:33,14:33
20240923,"ADMIN PRO","Compta Jours",0,14:33,14:33
20240923,"ADMIN PRO","Salaire et Budget",0,14:33,14:33
20240923,"CALIPSO ADMIN","Chiffrage",0,14:33,14:33
20240923,"ACTION PERSO","Pgrm Velo",0,14:33,14:33
20240923,"ADMIN PRO","Tableau de Bord",11,14:37,15:15
20240923,"CALIPSO ADMIN","Chiffrage",25,15:15,15:39
20240923,"CALIPSO ADMIN","Chiffrage",35,17:45,18:44
20240923,"CALIPSO ADMIN","Plannification Tâches",15,18:44,18:59
